iter	Passed	Remaining
983	69329	1127
984	69375	1056
985	69418	985
986	69460	914
987	69499	844
988	69542	773
989	69582	702
990	69621	632
991	69661	561
992	69702	491
993	69745	420
994	69787	350
995	69828	280
996	69871	210
997	69909	140
998	69949	70
999	69989	0
3	76278	460
994	76351	383
995	76442	306
996	76514	230
997	76586	153
998	76661	76
999	76734	0
074	16328
934	231430	16088
935	231708	15843
936	231935	15594
937	232247	15351
938	232521	15105
939	232882	14864
940	233158	14618
941	233436	14372
942	233680	14124
943	233926	13877
944	234138	13627
945	234442	13382
946	234576	13128
947	234797	12879
948	234950	12626
949	235102	12373
950	235276	12122
951	235415	11869
952	235621	11620
953	235813	11370
954	235979	11119
955	236111	10867
956	236212	10613
957	236318	10360
958	236432	10108
959	236512	9854
960	236618	9602
961	236708	9350
962	236823	9099
963	236935	8848
964	237032	8597
965	237115	8345
966	237231	8095
967	237336	7845
968	237428	7595
969	237526	7346
970	237631	7097
971	237739	6848
972	237839	6599
973	237949	6351
974	238057	6104
975	238169	5856
976	238272	5609
977	238402	5362
978	238484	5115
979	238576	4868
980	238677	4622
981	238779	4376
982	238880	4131
983	238984	3885
984	239083	3640
985	239193	3396
986	239288	3151
987	239368	2907
988	239445	2663
989	239536	2419
990	239619	2176
991	239692	1933
992	239771	1690
993	239852	1447
994	239937	1205
995	240032	963
996	240111	722
997	240192	481
998	240275	240
999	240355	0
72	0

