iter	Logloss
180	0.4574894055
181	0.4570165966
182	0.4562499298
183	0.4557004495
184	0.4553982389
185	0.4549391763
186	0.4544901052
187	0.4540578375
188	0.4538208912
189	0.4535921192
190	0.4529003332
191	0.452728381
192	0.4523427341
193	0.4520978733
194	0.4519018844
195	0.4516404642
196	0.4512904697
197	0.4506479505
198	0.4503511719
199	0.4498943117
200	0.4495202188
201	0.4490466557
202	0.448687292
203	0.4483356546
204	0.447867548
205	0.4474198974
206	0.4471984724
207	0.4466727909
208	0.4464113828
209	0.445825382
210	0.4455028196
211	0.4450421062
212	0.4446712426
213	0.4440929341
214	0.44368308
215	0.4434136214
216	0.4432809318
217	0.4428787042
218	0.4425269841
219	0.4420248537
220	0.4417379325
221	0.4412327615
222	0.4409933323
223	0.4406212309
224	0.4401096308
225	0.4397196134
226	0.4394387044
227	0.438909803
228	0.4384964422
229	0.4381692917
230	0.4379971459
231	0.4375993308
232	0.4372871611
233	0.4367030455
234	0.4361635924
235	0.4358648209
236	0.43526994
237	0.4349623384
238	0.4344628408
239	0.4343363264
240	0.4339288257
241	0.4334508507
242	0.4332681956
243	0.4330273803
244	0.4328318514
245	0.4325796595
246	0.4321390206
247	0.4320081444
248	0.4317964921
249	0.431563415
250	0.4312313822
251	0.4309350789
252	0.4302671319
253	0.4297189104
254	0.4293948675
255	0.4292888958
256	0.4290390854
257	0.4287765085
258	0.4283108841
259	0.4281851996
260	0.4279455609
261	0.4277024478
262	0.4273318448
263	0.4270460971
264	0.4268393455
265	0.4265991415
266	0.4260347576
267	0.425818135
268	0.4253908784
269	0.4251207708
270	0.4248390151
271	0.4247124755
272	0.4246728741
273	0.4243782895
274	0.4240631612
275	0.423572597
276	0.4233143349
277	0.4230132718
278	0.4227695916
279	0.4223573402
280	0.422067932
281	0.4217300775
282	0.4213782162
283	0.4210301108
284	0.4206722716
285	0.4199988561
286	0.4195787451
287	0.4191057539
288	0.4189957766
289	0.4185297438
290	0.4181139432
291	0.4179710885
292	0.4176695012
293	0.4174066737
294	0.417164604
295	0.4168796996
296	0.4166225944
297	0.4160874162
298	0.4158430639
299	0.4152749947
300	0.4150333657
301	0.4146584138
302	0.4143116992
303	0.4140364047
304	0.4138777406
305	0.413678304
306	0.4134424628
307	0.4131060819
308	0.4129555272
309	0.4128626741
310	0.4126372571
311	0.41239343
312	0.4119165471
313	0.4116613639
314	0.4114652325
315	0.4111237875
316	0.4107167089
317	0.4104123343
318	0.4101965968
319	0.4099631545
320	0.4097204771
321	0.4094087732
322	0.4091566207
323	0.4088459331
324	0.408636973
325	0.4085101372
326	0.4081264755
327	0.407567749
328	0.4073796494
329	0.4072177226
330	0.4070021746
331	0.4067570842
332	0.4065345485
333	0.4062751078
334	0.4060516301
335	0.4057607919
336	0.405393092
337	0.4052395615
338	0.4047916925
339	0.4044750944
340	0.4042808526
341	0.4039938869
342	0.403583427
343	0.4034134678
344	0.4033097334
345	0.4029987744
346	0.4028376262
347	0.4027250835
348	0.4022889624
349	0.4022106324
350	0.4020859413
351	0.4018819739
352	0.401713055
353	0.401395389
354	0.4011788635
355	0.4010206553
356	0.4007542563
357	0.400464617
358	0.4003228673
359	0.4000395211
360	0.3997891266
361	0.3996232971
362	0.3993907596
363	0.3991335766
364	0.3989346585
365	0.3986716977
366	0.3983787514
367	0.3980626511
368	0.3977542357
369	0.397458147
370	0.3972623008
371	0.3971541251
372	0.396988275
373	0.39651382
374	0.3962556437
375	0.3959648158
376	0.3958560541
377	0.3955566529
378	0.3952938397
379	0.3950137545
380	0.3948887178
381	0.3944890652
382	0.3943696927
383	0.3940176804
384	0.3936980234
385	0.3935388125
386	0.3931417789
387	0.3928510065
388	0.3927111817
389	0.3922978607
390	0.3921143633
391	0.3916839103
392	0.3915536689
393	0.3912059456
394	0.3908455611
395	0.3906072628
396	0.3904660977
397	0.3901217211
398	0.3898018051
399	0.389439322
400	0.3893161258
401	0.3891004837
402	0.3888332509
403	0.3885017533
404	0.388347155
405	0.3879953278
406	0.3876276198
407	0.3875302002
408	0.3872656098
409	0.386934791
410	0.3866780934
411	0.3863256968
412	0.3861323488
413	0.3856311956
414	0.3853361574
415	0.3851432245
416	0.3848496008
417	0.3846799317
418	0.3845314996
419	0.3843120037
420	0.3841509649
421	0.3837606471
422	0.3833366175
423	0.3829562315
424	0.3828044977
425	0.3824372701
426	0.3820928395
427	0.3817091927
428	0.3815252804
429	0.3812951639
430	0.3810277256
431	0.3807707322
432	0.3804922691
433	0.3802559073
434	0.3799404793
435	0.379569981
436	0.3791890083
437	0.3788502664
438	0.3785734577
439	0.3784024007
440	0.3780990912
441	0.3779031855
442	0.3776726713
443	0.3772484508
444	0.3771075549
445	0.3766176964
446	0.3762321615
447	0.3758783121
448	0.3756439914
449	0.3751269361
450	0.3747996234
451	0.3745510916
452	0.3742928734
453	0.3740796166
454	0.3737214915
455	0.37348427
456	0.3733799021
457	0.3729250946
458	0.3726735866
459	0.3724256471
460	0.3722473831
461	0.3720760414
462	0.3719461187
463	0.3716206567
464	0.3714590994
465	0.3711577189
466	0.3708277906
467	0.3706088895
468	0.370339419
469	0.3700367627
470	0.3697066315
471	0.3693269586
472	0.3691077453
473	0.3687516363
474	0.3683921847
475	0.3681258425
476	0.3678345281
477	0.3675772724
478	0.3672880066
479	0.36714221
480	0.3669719144
481	0.366680274
482	0.3663821668
483	0.3659191793
484	0.3654585693
485	0.3651378365
486	0.3650638228
487	0.3648356217
488	0.3647186382
489	0.3643120875
490	0.3640768706
491	0.363835842
492	0.3634928503
493	0.3631946474
494	0.3629460046
495	0.362404793
496	0.3620930877
497	0.3617662451
498	0.3615020027
499	0.3613445573
500	0.3609840255
501	0.360825254
502	0.3605687071
503	0.3603624396
504	0.3600391255
505	0.3598348252
506	0.3597450567
507	0.3595718729
508	0.3591499148
509	0.3588892643
510	0.3586370675
511	0.3584243499
512	0.3578668119
513	0.3574987201
514	0.3571204417
515	0.3568815573
516	0.3567035012
517	0.3565232756
518	0.3562865696
519	0.3558693692
520	0.3557169823
521	0.3554542633
522	0.3549864874
523	0.3545818202
524	0.354009987
525	0.3537168615
526	0.353374958
527	0.3530891836
528	0.3526946272
529	0.3521786195
530	0.3520033899
531	0.351643765
532	0.3513099684
533	0.3511443459
534	0.3507811135
535	0.3503129423
536	0.3498886852
537	0.3495402036
538	0.349409753
539	0.3491381475
540	0.3488809835
541	0.3486831347
542	0.3483120026
543	0.3479721009
544	0.3476642357
545	0.3474257327
546	0.3470372981
547	0.3469185595
548	0.3467562156
549	0.3464055468
550	0.3460730866
551	0.3457984279
552	0.3455644759
553	0.3454753255
554	0.3450138229
555	0.344891427
556	0.3444505767
557	0.3442213093
558	0.3437727322
559	0.3431853155
560	0.342768422
561	0.3423035748
562	0.3420915668
563	0.3417546628
564	0.341473727
565	0.3411905591
566	0.3409160127
567	0.3407519483
568	0.3403611546
569	0.3399672236
570	0.3393803184
571	0.3389870479
572	0.3388603889
573	0.3385886677
574	0.3382605909
575	0.3380186926
576	0.3378714309
577	0.3374845801
578	0.337131085
579	0.3365359013
580	0.3362217523
581	0.3358116234
582	0.3355477316
583	0.3352441466
584	0.3349244363
585	0.3344971446
586	0.3341263332
587	0.3337142328
588	0.333518948
589	0.3331572227
590	0.3328613645
591	0.33261382
592	0.3324348346
593	0.3322097293
594	0.3317697798
595	0.3314230825
596	0.3311123372
597	0.3306991476
598	0.3305045423
599	0.3302700239
600	0.3300421917
601	0.3296196609
602	0.3293508431
603	0.329120968
604	0.3288277097
605	0.3287583501
606	0.3285464374
607	0.3282325615
608	0.3279780543
609	0.3275933931
610	0.3272772265
611	0.3269513336
612	0.3265155428
613	0.3263475892
614	0.3261241715
615	0.3257451331
616	0.3252827507
617	0.3249381766
618	0.324659663
619	0.3244038546
620	0.3240533661
621	0.323694869
622	0.3232573174
623	0.3229410967
624	0.3227059476
625	0.3223861297
626	0.3219543527
627	0.3218365371
628	0.3214056895
629	0.3213423574
630	0.3210283648
631	0.3207544414
632	0.320327566
633	0.320123665
634	0.3197009445
635	0.3192615513
636	0.3188098817
637	0.3186444391
638	0.318281205
639	0.317856343
640	0.3174735809
641	0.3173131637
642	0.3171639435
643	0.3168328316
644	0.3165778998
645	0.3164827638
646	0.3162140774
647	0.3158848377
648	0.3153666159
649	0.3150235141
650	0.3147231283
651	0.3145196854
652	0.3143739531
653	0.3143403841
654	0.3140272876
655	0.3135818637
656	0.3133168135
657	0.3130403885
658	0.3129052926
659	0.312655431
660	0.3122092521
661	0.3118602719
662	0.3115914655
663	0.3113186525
664	0.3109656995
665	0.3108905781
666	0.3104475743
667	0.3101752354
668	0.3097308397
669	0.3093652903
670	0.3089977499
671	0.3087768858
672	0.3084703572
673	0.3082454745
674	0.3078703676
675	0.3075452743
676	0.3071663146
677	0.3068436788
678	0.3067455086
679	0.3063980117
680	0.3061109064
681	0.3058409826
682	0.3054735875
683	0.3051508995
684	0.3049365662
685	0.3043835771
686	0.3041558948
687	0.3040003154
688	0.3036944999
689	0.3032991319
690	0.3028522032
691	0.3025063858
692	0.3020491409
693	0.30192945
694	0.3016052213
695	0.301397429
696	0.3009943055
697	0.3007007691
698	0.3004339436
699	0.3004113325
700	0.3001020365
701	0.2998611357
702	0.299469121
703	0.2991817037
704	0.298958961
705	0.2985716981
706	0.29825588
707	0.2980756812
708	0.2977227611
709	0.2973816971
710	0.2970626687
711	0.2967065179
712	0.296655149
713	0.2961879768
714	0.2958766036
715	0.2954759164
716	0.2950700876
717	0.2948937082
718	0.2947337141
719	0.2944358323
720	0.2943052486
721	0.2939790102
722	0.2935560122
723	0.2934414535
724	0.2932243847
725	0.2928547592
726	0.2926272771
727	0.2922494091
728	0.2918330326
729	0.2916399598
730	0.2912631015
731	0.2910976961
732	0.2906319732
733	0.2903161702
734	0.2900746281
735	0.2896742158
736	0.2894193855
737	0.2890281612
738	0.2888156314
739	0.2884913554
740	0.2881679137
741	0.287894794
742	0.287639992
743	0.2871521049
744	0.2870930721
745	0.2868498263
746	0.2865152865
747	0.2861942436
748	0.2860010558
749	0.2857049155
750	0.2854619093
751	0.2853095143
752	0.2849498673
753	0.284918374
754	0.2846345979
755	0.2843713434
756	0.284331693
757	0.2840909396
758	0.2838634304
759	0.2835143268
760	0.2829852223
761	0.2826227415
762	0.2822683714
763	0.2820291565
764	0.2817686018
765	0.2816259789
766	0.2811628085
767	0.2808602196
768	0.2805145021
769	0.2803713193
770	0.2803482286
771	0.2801886281
772	0.2800294439
773	0.279643696
774	0.2795535642
775	0.2793454745
776	0.2788912933
777	0.2787524479
778	0.2786726099
779	0.2782994131
780	0.2780025544
781	0.2776779892
782	0.2775164422
783	0.2771254403
784	0.2769920976
785	0.2768539372
786	0.2765101039
787	0.2761825692
788	0.275907113
789	0.2755577966
790	0.2753566079
791	0.2748591102
792	0.2746654231
793	0.2744663114
794	0.2741792629
795	0.274017504
796	0.2738633238
797	0.2734938951
798	0.2731753272
799	0.2729813414
800	0.2729565589
801	0.272627117
802	0.2723630301
803	0.2722504994
804	0.2717604971
805	0.2715270352
806	0.2710519565
807	0.2706305751
808	0.2705269587
809	0.2702399155
810	0.2702117292
811	0.2698570014
812	0.2697864078
813	0.2694622841
814	0.2690135291
815	0.2689933652
816	0.2686927499
817	0.2684441423
818	0.2681383589
819	0.2677717526
820	0.2673511234
821	0.2671347537
822	0.2667564239
823	0.2664974071
824	0.2661196202
825	0.2658770441
826	0.2658525455
827	0.2656629744
828	0.2656433246
829	0.2655140871
830	0.2651357883
831	0.2648619392
832	0.2646771844
833	0.2642976673
834	0.264164744
835	0.264038591
836	0.2637784102
837	0.2634460938
838	0.2632272764
839	0.2629820494
840	0.2627995814
841	0.2624569355
842	0.2623334198
843	0.2623099889
844	0.2619103526
845	0.2615197266
846	0.261259201
847	0.2612373022
848	0.2609304502
849	0.2606474223
850	0.2602263286
851	0.2598976923
852	0.2595695769
853	0.2595408529
854	0.2591352759
855	0.2588997028
856	0.2587787549
857	0.2583347568
858	0.2581095547
859	0.2577104172
860	0.2574713369
861	0.2571365411
862	0.2571102984
863	0.2569589999
864	0.2567088645
865	0.2565854368
866	0.2564169269
867	0.2561510671
868	0.2557859873
869	0.2554548694
870	0.2551338502
871	0.2549355473
872	0.254599375
873	0.2543136908
874	0.2540701516
875	0.2539292767
876	0.2536897234
877	0.2534308349
878	0.2532944547
879	0.2532657753
880	0.2530441128
881	0.2527023621
882	0.2524759611
883	0.2521693113
884	0.2519024716
885	0.251627051
886	0.2512775795
887	0.2511135963
888	0.2510078073
889	0.2507790928
890	0.2506309705
891	0.250229808
892	0.2499988661
893	0.2496961986
894	0.2495062463
895	0.2491073782
896	0.2489326395
897	0.2486198554
898	0.2482961214
899	0.2482376992
900	0.2479045767
901	0.2476970485
902	0.2474301697
903	0.2473087023
904	0.2469851632
905	0.2468343244
906	0.2466573916
907	0.2464255387
908	0.2462373914
909	0.2459801752
910	0.2458852141
911	0.2455759487
912	0.2453999039
913	0.2452290255
914	0.2449376323
915	0.2446730336
916	0.2444719994
917	0.2442163944
918	0.2438793935
919	0.2436137456
920	0.2435931593
921	0.2432850531
922	0.2430442384
923	0.2430212758
924	0.2427883629
925	0.2425797248
926	0.2423722496
927	0.2420253745
928	0.2417874177
929	0.2417641194
930	0.2416197161
931	0.241331568
932	0.241081229
933	0.2409686283
934	0.2408142486
935	0.2405854831
936	0.2403190849
937	0.240252929
938	0.2400647155
939	0.2398632756
940	0.2396070939
941	0.239221533
942	0.2388790957
943	0.2385032225
944	0.2381909474
945	0.2379491177
946	0.2378198708
947	0.2375810307
948	0.2374599668
949	0.2370944956
950	0.2369175594
951	0.2366535726
952	0.2364006724
953	0.2363810421
954	0.2361844156
955	0.2359412287
956	0.2356789108
957	0.2354921559
958	0.2352188975
959	0.2349930296
960	0.2347843484
961	0.2346922912
962	0.2344818831
963	0.2343914495
964	0.2341127097
965	0.2340879364
966	0.2340683902
967	0.2338849528
968	0.2336570658
969	0.2334602529
970	0.2332402964
971	0.2332189161
972	0.2331834976
973	0.2329543695
974	0.232688491
975	0.2325260662
976	0.2321649508
977	0.2319012081
978	0.2317524149
979	0.2315511863
980	0.2315296077
981	0.2312629746
982	0.2310161002
983	0.2308869408
984	0.2305883278
985	0.2304087731
986	0.2301794747
987	0.2300329224
988	0.229771037
989	0.2297305092
990	0.2295161272
991	0.2294593792
992	0.2292312557
993	0.2290268984
994	0.2288015532
995	0.2285565929
996	0.2282917568
997	0.2282738565
998	0.2280844325
999	0.2280002261
9	0.2350726423
